"Date","Station Group","Station ID","Site Name","Trip ID","Elevation","Bottom Sounding"
4/25/1964 11:00:00,"LPCR0905","SCUCLP14","OAK CANYON","LP640425",,
4/25/1964 12:30:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP640425",,
4/25/1964 16:30:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP640425",,
12/16/1964 12:00:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP641216",,
1/19/1965 14:30:00,"LPCR1692","SCUCLP17","Bullfrog Bay","LP650119",3491.67,
1/20/1965 11:30:00,"LPCR2387","SCUCLP18","HITE BASIN","LP650119",3491.62,
1/21/1965 10:30:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP650119",3491.71,
1/21/1965 14:30:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP650119",3491.71,
1/21/1965 15:50:00,"LPCR0905","SCUCLP14","OAK CANYON","LP650119",3491.71,
1/22/1965 10:30:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP650119",3491.71,
1/22/1965 12:40:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP650119",3491.71,
2/3/1965 14:30:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP650203",,
3/3/1965 13:00:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP650303",3490.12,
3/31/1965 10:00:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP650331",,
5/19/1965 13:45:00,"LPSJR193","SCUCLP15","CHA CANYON (SAN JUAN R.)","LP650519",3492.08,
5/19/1965 15:00:00,"LPCR0905","SCUCLP14","OAK CANYON","LP650519",3491.96,
5/25/1965 14:00:00,"LPCR0024","SCUCLP12","WAHWEAP BAY--","LP650519",3491.96,
5/25/1965 16:30:00,"LPCR0453","SCUCLP13","CROSSING OF THE FATHERS","LP650519",3491.96,
5/26/1965 8:00:00,"LPCR1169","SCUCLP16","ESCALANTE RIVER","LP650519",3491.96,
